FREQ,Frequency,BORROWERS_CTY,Borrowers' country,TC_BORROWERS,Borrowing sector,TC_LENDERS,Lending sector,CG_DTYPE,Credit gap data type,TIME_FORMAT,Time Format,TITLE_TS,Series,1947-Q4,1948-Q1,1948-Q2,1948-Q3,1948-Q4,1949-Q1,1949-Q2,1949-Q3,1949-Q4,1950-Q1,1950-Q2,1950-Q3,1950-Q4,1951-Q1,1951-Q2,1951-Q3,1951-Q4,1952-Q1,1952-Q2,1952-Q3,1952-Q4,1953-Q1,1953-Q2,1953-Q3,1953-Q4,1954-Q1,1954-Q2,1954-Q3,1954-Q4,1955-Q1,1955-Q2,1955-Q3,1955-Q4,1956-Q1,1956-Q2,1956-Q3,1956-Q4,1957-Q1,1957-Q2,1957-Q3,1957-Q4,1958-Q1,1958-Q2,1958-Q3,1958-Q4,1959-Q1,1959-Q2,1959-Q3,1959-Q4,1960-Q1,1960-Q2,1960-Q3,1960-Q4,1961-Q1,1961-Q2,1961-Q3,1961-Q4,1962-Q1,1962-Q2,1962-Q3,1962-Q4,1963-Q1,1963-Q2,1963-Q3,1963-Q4,1964-Q1,1964-Q2,1964-Q3,1964-Q4,1965-Q1,1965-Q2,1965-Q3,1965-Q4,1966-Q1,1966-Q2,1966-Q3,1966-Q4,1967-Q1,1967-Q2,1967-Q3,1967-Q4,1968-Q1,1968-Q2,1968-Q3,1968-Q4,1969-Q1,1969-Q2,1969-Q3,1969-Q4,1970-Q1,1970-Q2,1970-Q3,1970-Q4,1971-Q1,1971-Q2,1971-Q3,1971-Q4,1972-Q1,1972-Q2,1972-Q3,1972-Q4,1973-Q1,1973-Q2,1973-Q3,1973-Q4,1974-Q1,1974-Q2,1974-Q3,1974-Q4,1975-Q1,1975-Q2,1975-Q3,1975-Q4,1976-Q1,1976-Q2,1976-Q3,1976-Q4,1977-Q1,1977-Q2,1977-Q3,1977-Q4,1978-Q1,1978-Q2,1978-Q3,1978-Q4,1979-Q1,1979-Q2,1979-Q3,1979-Q4,1980-Q1,1980-Q2,1980-Q3,1980-Q4,1981-Q1,1981-Q2,1981-Q3,1981-Q4,1982-Q1,1982-Q2,1982-Q3,1982-Q4,1983-Q1,1983-Q2,1983-Q3,1983-Q4,1984-Q1,1984-Q2,1984-Q3,1984-Q4,1985-Q1,1985-Q2,1985-Q3,1985-Q4,1986-Q1,1986-Q2,1986-Q3,1986-Q4,1987-Q1,1987-Q2,1987-Q3,1987-Q4,1988-Q1,1988-Q2,1988-Q3,1988-Q4,1989-Q1,1989-Q2,1989-Q3,1989-Q4,1990-Q1,1990-Q2,1990-Q3,1990-Q4,1991-Q1,1991-Q2,1991-Q3,1991-Q4,1992-Q1,1992-Q2,1992-Q3,1992-Q4,1993-Q1,1993-Q2,1993-Q3,1993-Q4,1994-Q1,1994-Q2,1994-Q3,1994-Q4,1995-Q1,1995-Q2,1995-Q3,1995-Q4,1996-Q1,1996-Q2,1996-Q3,1996-Q4,1997-Q1,1997-Q2,1997-Q3,1997-Q4,1998-Q1,1998-Q2,1998-Q3,1998-Q4,1999-Q1,1999-Q2,1999-Q3,1999-Q4,2000-Q1,2000-Q2,2000-Q3,2000-Q4,2001-Q1,2001-Q2,2001-Q3,2001-Q4,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4
Q,Quarterly,CH,Switzerland,P,Private non-financial sector,A,All sectors,B,Credit-to-GDP trend (HP filter),,,,Q:CH:P:A:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.4,146.9,147.3,147.3,147.4,147.2,147.1,146.8,146.7,146.2,145.7,145.2,144.8,144.3,143.8,143.2,141.4,139.7,138.4,137.3,136.6,136,135.6,135.2,135.1,135,135,135.1,135.5,135.8,136.2,136.6,137.4,138,138.7,139.4,140.3,141.1,142,142.8,143.8,144.8,145.9,146.9,147.6,148,148.3,148.9,149.5,150.1,150.8,151.6,152.4,153.1,153.8,154.5,155.2,155.9,156.5,157,157.7,158.3,159,159.7,160.5,161.4,162.3,163.4,164.4,165.6,166.9,168.3,169.8,171.5,173.3,175.1,176.9,178.7,180.5,182.2,183.7,185.2,186.6,188,189.2,190.4,191.5,192.6,193.6,194.6,195.6,196.4,196.9,197.4,197.9,198.4,198.7,199.1,199.5,199.8,200.2,200.7,201.2,201.7,202.1,202.6,203.1,203.4,203.6,203.8,204,204,204,204.2,204.5,204.9,205.2,205.2,205.1,204.9,204.6,204.7,204.5,204.1,203.6,203.2,202.8,202.4,202,201.7,201.5,201.5,201.4,201.6,201.4,201.3,201.1,201,200.9,200.6,200.6,200.2,199.8,199.4,199.2,199.4,199.7,199.9,200.1,200.2,200.6,200.9,201,201.2,201.9,202.5,203.4,204.2,205.2,206.1,206.9,207.9,208.8,209.8,210.8,211.7,212.8,214,215.2,216.4,217.5,218.6,219.7,220.7,221.8,222.8,223.7,224.5,225.3,226.1,227.1,228.4,229.5,230.8,232,233.2,234.6,236.1,237.6,239.4,240.8,242,242.9,243.9,245.2,246.8,248.6,250.4,252.5,254.9,257,259.7,262.1,264.4,266.3,268.4,270.2,271.9,273.2,274.5,275.6,276.7,277.3
Q,Quarterly,BR,Brazil,P,Private non-financial sector,A,All sectors,A,Credit-to-GDP ratios (actual data),,,,Q:BR:P:A:A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,50.8,47.4,44.9,44,45.7,46.6,47.7,49.1,49.2,49.4,49.3,49.7,48.2,49.3,48.7,44.2,45.7,45,47.2,49.1,47.8,51,49.3,49.7,50.3,55.7,52.9,52.1,49.2,48.7,48.4,46.4,46.9,45.9,45.1,45.5,45.2,45.5,46.5,46.7,47.7,48.5,50.1,48.2,46.9,47.2,47.8,49.3,51.2,53.3,55.5,54.6,55.3,56.7,58,56.1,55.6,57.5,59,58.9,59.3,60,62.3,62.5,64.3,64.8,66.7,66.6,69.2,69,70.7,69.8,70.1,71.7,74.4,77.3,76.9,81.6,81.8,78.8,75.6,74.8,74.4,72.8,72.6,71.3,72.5,70.6,72.7,73.2,74.4,74.5,75,76.3,77,81.7,84.6,87.1,86.5,87,82.3,83.6,84.9,82.3,84.3,85.6,86.1,84.8,83.6,85.7,86.2
Q,Quarterly,CH,Switzerland,P,Private non-financial sector,A,All sectors,C,Credit-to-GDP gaps (actual-trend),,,,Q:CH:P:A:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,0.1,-0.9,-4.2,-4.2,-6.6,-6.3,-7.4,-6.3,-9.2,-10.2,-9.9,-8.1,-9.2,-10.1,-10,-26.1,-23,-18.6,-15.8,-9.1,-8.3,-5.6,-5.1,0,-1.1,1.2,1.8,7.7,4.9,6.5,6.5,11.8,9.2,10.6,9.5,12.2,11.5,12.4,11.3,14.2,12.7,14.4,12.1,8.2,1.8,1.2,4.6,6.2,5.2,7.2,7.3,8.7,5.9,7,5.7,5.6,5.6,3.9,2.8,4.4,3.5,5.2,5.6,6.3,6.9,9.5,9.4,9.8,12.2,14.4,15.2,15.8,18.8,21.2,19.6,19.7,18.5,18.1,15.6,12.9,10.9,10.7,8.2,6.4,5.2,4.4,3.2,2,2,1.1,-1.6,-6.1,-6.7,-7,-7.4,-8.1,-7.9,-7.8,-8.7,-7,-5.1,-4.9,-6.1,-5.6,-4.6,-4.9,-7.1,-8.2,-9,-9.3,-11.7,-12.3,-8,-5.1,-3.7,-5.4,-11.4,-11.8,-13.7,-13.3,-8.6,-12.4,-15.4,-16.7,-13.6,-14.4,-14.1,-14,-11.1,-9.1,-6.4,-5.7,-3,-7.8,-7.4,-6.7,-6.9,-6.7,-7.9,-4.8,-10.3,-11.1,-10.2,-6,0.7,2,0.9,1.3,-0.8,3.5,3.2,-2.4,1.8,8.1,7.7,11.2,10.7,12.8,12,7.8,13.1,10.5,11.6,10.8,10.3,11.3,14.4,14,12.9,11.5,9.7,10.5,9.3,9.6,7,6.2,4.9,3.2,3.8,6.9,11.4,9.8,10.5,9.2,10,13.2,13.1,13.6,18.1,10.4,7,1.6,4.5,7.7,12.8,17.4,15.7,21.1,24.2,19.9,29.1,24.1,20.7,13.9,14.9,12.4,8.7,0.5,1.9,-1.2,-2.7,-9.9
Q,Quarterly,PL,Poland,P,Private non-financial sector,A,All sectors,A,Credit-to-GDP ratios (actual data),,,,Q:PL:P:A:A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,29.7,28.5,26.5,25.9,25.7,25.4,24.9,24.3,23.2,22,21.7,21,20.6,20.8,21.7,21.8,22.3,23.5,25.4,26.1,26.4,26.9,27.1,28.7,30.2,32.1,33.5,34.8,35.3,36.7,36.6,37,40.3,39.4,39.5,40.2,40.7,42.9,42.3,43.4,46,48.3,48.9,49.7,48.9,48.9,47.8,48.2,47.2,46.1,42.8,42,42.5,42.5,43.3,44.2,46.1,48.5,50,51.1,53,55.7,57,58.8,60.4,63.3,69.9,74,72.5,71.6,69.8,70.1,72.9,72.4,73.2,72.4,73.5,76.7,77.3,76.5,77,76.6,77.4,78.2,80,80.6,79.9,80.3,81.5,82,82.7,83.5,84.3,84.7,84,84.1,85.2,84.6,87,85.5,84.5,83.5,82.2,82.8,82.9,82.3,81.5,80.8,79.9,80.2,78.8,80.9,81.1,80.3,80.6,79.9,77.5,77.2,75.8,73.8,71.8,71.1,67.1,65,62.8,62.5,60.7
Q,Quarterly,CA,Canada,P,Private non-financial sector,A,All sectors,C,Credit-to-GDP gaps (actual-trend),,,,Q:CA:P:A:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,0.8,0.5,-0.8,-1,-1.3,-1.3,0.5,2.8,2.6,3.2,3.2,4.7,-1,0.3,0.4,0.5,-1.1,-1.4,-1,-0.5,-0.3,0.7,1.5,2,1.8,2.5,3.1,3.7,3.5,4.2,3.7,3.7,3.1,3.7,3.2,3.1,3.2,3.9,3.9,3.8,3.1,2.5,2.4,2.7,3.6,4.9,5.5,5.6,6,6.2,6.5,6.9,7.6,8.1,8.1,7.5,7,7.3,6.6,6.7,6.5,7.3,7.5,5.5,4.7,3.6,1.9,-0.6,-2.5,-4.7,-6.9,-9,-9.6,-10.3,-11.1,-11.8,-11.2,-11.2,-9.8,-9.4,-8.8,-7.3,-6.4,-5.4,-5.1,-3.3,-3.1,-2.4,-1.3,-0.3,1.3,2.1,2.9,4.1,5.4,7,8.3,8.8,9.3,9.5,10.3,10.7,10.7,11.5,10.4,10.7,9.9,8.6,9,8,8,6.5,5.7,4.1,2.1,0.9,0.8,-0.9,-1.4,-1.9,-2.3,-2.7,-3,-3.6,-1.9,-2,-2,-2.5,-1.6,0.1,1.4,1.3,-0.6,-2.2,-4.3,-7,-4.8,-5.9,-6.7,-8.4,-5.8,-6.1,-3.5,-2.8,0,0.5,0.8,-0.7,-3.8,-4,-4.6,-5,-2,-2.7,-3.7,-3.9,-6.6,-5,-6,-8.2,-7.9,-8,-5.9,-3.9,1.1,0.8,1.9,2,4.5,2.9,2.6,5.1,7.9,12.4,16.1,16.2,13.6,12.6,10.2,8.2,7.6,6.6,6.9,3.9,3.6,4.5,5.5,5.7,6.9,8,7.7,6.9,7.4,6.7,7.3,6.3,11.1,12,14.2,15.3,13,14.9,15.4,13.1,12.3,10.5,8.5,7,5.9,6.6,4.5,4.3,3.9,5.2,5.5,4.2,7.4,17.2,19.4,20.1,16.8,9.6,5.5,1.3,-5.6,-11.7,-14.6,-16.2,-15.9,-14.8,-14.2,-13.7
Q,Quarterly,KR,Korea,P,Private non-financial sector,A,All sectors,C,Credit-to-GDP gaps (actual-trend),,,,Q:KR:P:A:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.8,-4.4,-4.3,-4.7,-5.2,-6.1,-6.1,-4.6,-5.4,-9.5,-10.8,-11.2,-12.5,-13.1,-14.8,-14,-14.4,-14.5,-13.7,-12.1,-12.7,-10.7,-8.8,-8.8,-8.3,-7.8,-7.4,-4.5,-2.8,3.3,4.8,7,8.5,8,8.6,8.4,9.7,9.6,8.2,9.9,14.5,14.2,14,11.1,10.6,9.7,9.6,8.9,9,10.2,11.9,12.8,9.8,7.1,7.1,4.4,2.7,0.2,-1.3,-2.6,-5,-9,-7.8,-9.6,-11.3,-8.7,-3.8,-1.5,-1.2,-1.7,-0.8,-1.3,3.1,5.7,4.7,5.6,4.5,4,3.2,3.7,4.2,4.4,4.9,6.8,4,3.6,4,5.6,3.4,2.8,2.5,1.6,0.4,0.7,2.2,5.3,4.7,8.4,7.8,8,13.2,10.1,8.2,10.5,5.7,9.7,0.5,-4.1,-13,-13.6,-17,-17.2,-19.8,-18.8,-19.1,-17.1,-18.2,-15.4,-13.3,-11.9,-12,-12.1,-13.1,-13.9,-15,-16.7,-18.8,-19.6,-21.8,-21.6,-19.4,-18.5,-17.2,-15.8,-11.8,-8.9,-5.5,-3.7,-2.3,-1.6,-0.5,2.5,5.5,7.9,10.7,11.9,13.2,13,11.2,8.2,6.8,5.3,2.9,2.5,3,4.8,4,3.7,4.1,4.9,3.2,4.4,3.8,2.7,1,0.6,0.2,1.6,1.7,1,0.3,0.8,0.3,-0.5,-0.6,-1.1,-1.2,-2.2,-1.4,-2.2,-2.9,-2.4,-1.6,-0.3,0.3,1,3,4.7,5.9,8.6,12.9,15.7,16.8,17.3,17.1,17.4,16.6,16,16.2,16.8,15.4,12.7,12.1,10.5,6.3
Q,Quarterly,KR,Korea,P,Private non-financial sector,A,All sectors,B,Credit-to-GDP trend (HP filter),,,,Q:KR:P:A:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.8,62.5,63.3,63.9,64.5,65.1,65.6,66.2,66.8,67,67.1,67.1,67,66.8,66.5,66.3,66,65.6,65.3,65.1,64.9,64.7,64.7,64.7,64.7,64.8,64.8,65.1,65.4,66.2,67,68,69.1,70.2,71.4,72.5,73.8,75,76.2,77.4,79,80.6,82.2,83.7,85.1,86.5,87.9,89.2,90.6,92.1,93.7,95.3,96.8,98.2,99.5,100.8,101.9,102.9,103.8,104.6,105.2,105.7,106.2,106.5,106.8,107.1,107.8,108.6,109.4,110.1,111,111.7,112.8,114,115.1,116.3,117.5,118.6,119.7,120.8,122,123.2,124.4,125.7,126.9,128.1,129.3,130.5,131.7,132.9,134,135.1,136.1,137.1,138.3,139.6,140.8,142.4,143.8,145.3,147.2,148.8,150.4,152.1,153.6,155.2,156.4,157.3,157.7,158.1,158.2,158.2,158.1,158.1,157.9,157.9,157.8,157.8,157.9,158,158.2,158.3,158.3,158.2,158.1,157.9,157.5,157,156.4,155.7,155.2,154.6,154.1,153.7,153.4,153.3,153.4,153.6,153.9,154.2,154.5,155,155.8,156.6,157.7,158.8,160,161.2,162.3,163.3,164.2,165.1,165.8,166.5,167.2,168.1,168.8,169.6,170.4,171.3,172.1,172.9,173.8,174.5,175.2,175.9,176.5,177.2,177.9,178.6,179.2,179.9,180.6,181.2,181.8,182.3,182.9,183.4,183.9,184.4,184.8,185.3,185.8,186.4,187,187.7,188.5,189.3,190.3,191.4,192.8,194.4,196,197.7,199.5,201.2,203,204.7,206.5,208.4,210.2,211.8,213.5,215.1,216.4
Q,Quarterly,CA,Canada,P,Private non-financial sector,A,All sectors,B,Credit-to-GDP trend (HP filter),,,,Q:CA:P:A:B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.6,81.9,82.1,82.3,82.4,82.4,82.5,82.7,83.2,83.6,84.1,84.5,85.2,85.3,85.6,85.8,86.1,86.2,86.4,86.5,86.7,86.9,87.2,87.5,87.9,88.2,88.6,89.1,89.6,90.1,90.6,91.1,91.6,92.1,92.6,93.1,93.6,94.1,94.7,95.2,95.8,96.3,96.8,97.3,97.8,98.4,99,99.7,100.4,101.2,101.9,102.7,103.6,104.4,105.3,106.3,107.2,108.1,109,109.9,110.8,111.7,112.6,113.6,114.5,115.3,116.1,116.8,117.3,117.7,118,118.2,118.2,118.2,118.2,118,117.8,117.7,117.5,117.3,117.2,117.1,117.1,117.1,117.1,117.2,117.4,117.5,117.7,118,118.3,118.7,119.2,119.7,120.3,120.9,121.7,122.5,123.4,124.4,125.3,126.4,127.4,128.5,129.7,130.8,131.9,133,134,135.1,136.2,137.2,138.2,139.2,140,140.8,141.5,142.1,142.7,143.3,143.8,144.3,144.8,145.2,145.6,146.1,146.6,147.1,147.6,148.1,148.7,149.4,150,150.6,151.1,151.4,151.6,151.9,152.1,152.3,152.4,152.6,152.7,153.1,153.4,153.9,154.4,155,155.5,155.7,156,156.2,156.4,156.8,157.1,157.4,157.6,157.7,157.9,158,157.9,157.9,157.8,157.9,158,158.5,158.9,159.4,159.9,160.5,161.1,161.6,162.3,163.2,164.3,165.7,167.1,168.4,169.6,170.7,171.8,172.8,173.7,174.7,175.5,176.4,177.2,178.2,179.1,180.2,181.3,182.4,183.5,184.6,185.7,186.8,187.9,189.3,190.7,192.3,194,195.5,197.2,199,200.6,202.3,203.8,205.2,206.6,207.9,209.3,210.5,211.8,213,214.3,215.7,216.9,218.4,220.4,222.6,224.9,227,228.7,230.2,231.5,232.4,232.9,233.2,233.4,233.6,233.8,234.1,234.3
Q,Quarterly,US,United States,P,Private non-financial sector,A,All sectors,A,Credit-to-GDP ratios (actual data),,,,Q:US:P:A:A,47.1,47.6,47.9,48,48.6,49.2,50.2,51.5,52.9,54.7,55.8,56.1,55.7,54.8,54.1,53.9,54,53.6,54.8,55.6,56.7,56.6,57.1,57.3,58,58.4,59.9,61.3,62.5,62.6,63.8,64.2,65.2,65.3,66.5,67.1,67.9,67.7,68.7,68.8,69.5,69.9,71.1,72,73.3,72.6,73.2,73.5,74.6,74.2,75.7,76.1,77.5,77.9,79.2,79.7,80.5,79.5,80.1,80.3,81.6,81.6,83.1,83.6,84.8,84.3,85.2,85.3,86.4,86.3,87.3,87.3,87.5,86.8,87.5,86.8,86.9,86.5,87.5,87.7,89.9,88.3,88.9,88.5,89.3,88.3,89.4,89.2,90,89.2,90.2,90.6,91.4,90.9,91.8,92.1,92.5,92.5,93.7,93.9,94.6,94.8,95.8,96.2,96.3,96.3,97.9,98.4,98.6,97.2,96.9,96.2,95.9,94.2,94.2,94.1,94.7,94.8,95.9,96.2,97.1,97.1,98.1,98.4,98.5,97.8,99.2,100,100.6,100.8,100.3,100.8,101.4,100,100.2,99.5,99.4,99.7,100.6,101.2,101.9,101.7,102.5,102.9,103.4,103.2,104.4,104.9,106.6,107.6,109.2,110.4,113.1,113.3,115,116.9,119.4,119.4,121.1,122,122.7,122.9,123.9,124.2,124.9,124.5,125,124.7,125.2,125.5,125.5,125.2,125.1,124.4,124.7,123.8,123.1,122,121,120.2,119.2,118.2,118.3,118.5,118.8,118.8,118.9,118.8,119.4,119.2,120.2,120.7,121.5,121.8,122.3,122.5,122.3,122.1,122.7,123.5,124.1,124.9,127,128.1,129.4,130.4,131.3,133.1,134,134.8,135.7,136.2,136.7,136.3,138.4,140.4,141.4,142,143.2,144.2,145.6,146.1,148.5,149.2,149.4,149.7,150.6,151.5,153.2,153.3,154.9,156.2,157.6,159.2,161.1,162.5,164.1,165.2,167.7,169.5,170.9,171.6,171.3,172,170.8,170.3,171,171.1,169.5,167.6,165,162.9,160.7,159,157.6,156.8,156,154.4,153.4,153,152.7,151.5,151.6,151.6,151.7,151.6,151.3,150.5,150.7,150.1,150.8,151.1,150.9,151.5,152.2,153.1,152.7,152.9,153.6,153.6,154.4,153.4,154.1,153.6,153.6,153.5,153.8,153.9,153.4,156.6,162.4,163.5,164.8,165.2,163.3,161.7,160.5,159.4,158.6,157.1,156.1,154.6,153.2,151.7,150.1
Q,Quarterly,PT,Portugal,P,Private non-financial sector,A,All sectors,C,Credit-to-GDP gaps (actual-trend),,,,Q:PT:P:A:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,0.3,1.6,2.6,7.4,8.6,9.2,9.4,11,11.9,8.6,8.5,13.5,9.6,5.1,3.3,5.5,3.1,3.3,1.8,2.9,-1.2,-3.4,-5.9,1.3,-3.5,-8.4,-8.8,-4.5,-7.8,-6.7,-8.1,-7.8,-10.7,-10.6,-12.3,-11.1,-11,-12.3,-12.9,-8.5,-6.2,-2.3,-1.8,-0.2,0.7,2.9,2.7,4.4,3.4,5.3,3.2,9.1,4.3,4.8,5.3,4.1,-0.7,-4.6,-10,-15.7,-22.6,-26.3,-28.8,-30.6,-31.5,-32.8,-32.5,-33.3,-33.1,-33.8,-33,-31.5,-33.8,-32.8,-31.6,-28.4,-28.1,-25.5,-27.4,-26.9,-23.5,-19.2,-17.7,-15.9,-17.2,-15.2,-12.4,-7.8,-7.1,-2.9,-1.5,3.5,2.9,3,2.9,6.3,3.9,3.8,3.6,4.4,8.9,10.1,10.7,12.5,14.4,13.6,13,14.5,19.5,19.9,20.4,23.4,23.4,27.4,28.5,29.7,33.3,33.1,33.3,33.1,34.9,35.2,35.4,35.2,33.2,30.1,30.3,31.7,33.9,32.2,29.8,28.7,30.3,29.4,28.2,27.3,24.2,24.2,22,21.7,20.9,19.2,17.1,15.8,14.4,16.4,15.5,16.3,17.4,19.8,18.7,18.5,20.5,21.6,20,16.6,13.7,12.7,8.7,9.7,9.6,8.6,7.7,5.9,4.9,4.6,5.4,5.8,2.3,-1.4,-6.9,-12,-17.2,-21.3,-23.8,-25.9,-28.8,-31.8,-34.2,-36.2,-39.4,-40.9,-42.3,-44.4,-43.9,-44.8,-45.6,-45.9,-47.1,-48.3,-47.6,-47.7,-46.9,-45.9,-45,-45.1,-42.2,-30.9,-26.8,-23.1,-19.2,-23,-23.6,-25.2,-27.5,-30.3,-31.6,-33.5,-36.4,-37.8,-37.5,-38.8
