date,Credit_GDP_ratio,Credit_GDP_gap,Nominal_house_price
31.03.2000,0.0843,0,46132.22367
30.06.2000,0.0803,0,49053.10429
30.09.2000,0.0813,0.0008,48863.23899
31.12.2000,0.0796,0.0002,50734.52564
31.03.2001,0.0604,-0.0071,46262.41424
30.06.2001,0.0618,-0.0004,50291.68897
30.09.2001,0.0568,-0.0002,53119.62297
31.12.2001,0.0623,0.006,55037.82228
31.03.2002,0.0581,0.0037,59727.24
30.06.2002,0.0619,0.0073,62886.561
30.09.2002,0.0608,0.0064,71066.773
31.12.2002,0.0625,0.0077,80439.584
31.03.2003,0.0617,0.0066,93932.64
30.06.2003,0.0608,0.0057,100010.68
30.09.2003,0.0607,0.0056,107539.467
31.12.2003,0.0603,0.0053,111243.168
31.03.2004,0.0638,0.008,118544.634
30.06.2004,0.0644,0.0078,124009.2
30.09.2004,0.0678,0.0099,123600
31.12.2004,0.0708,0.0112,126200
31.03.2005,0.0723,0.011,135500
30.06.2005,0.0795,0.0155,151000
30.09.2005,0.081,0.0145,163600
31.12.2005,0.0867,0.0171,173700
31.03.2006,0.0907,0.0178,184700
30.06.2006,0.0951,0.0187,189100
30.09.2006,0.0961,0.0165,207000
31.12.2006,0.1045,0.021,221900
31.03.2007,0.1161,0.0275,236300
30.06.2007,0.1272,0.0328,258800
30.09.2007,0.1485,0.0463,270300
31.12.2007,0.166,0.0547,282600
31.03.2008,0.1837,0.0622,286700
30.06.2008,0.2009,0.0683,303300
30.09.2008,0.2141,0.07,301000
31.12.2008,0.2217,0.0664,292000
31.03.2009,0.2321,0.0657,289800
30.06.2009,0.215,0.0402,259300
30.09.2009,0.25,0.0641,255000
31.12.2009,0.2622,0.0649,268500
31.03.2010,0.2764,0.0674,274100
30.06.2010,0.2749,0.0554,283000
30.09.2010,0.2961,0.0649,270200
31.12.2010,0.3164,0.0728,260700
31.03.2011,0.3346,0.0779,257700
30.06.2011,0.3488,0.0788,256800
30.09.2011,0.3645,0.0809,256500
31.12.2011,0.381,0.0835,256400
31.03.2012,0.39,0.0789,249900
30.06.2012,0.4232,0.0968,257400
30.09.2012,0.4285,0.0874,261600
31.12.2012,0.4504,0.094,265300
31.03.2013,0.4476,0.0772,269800
30.06.2013,0.4543,0.0703,272000
30.09.2013,0.463,0.0657,272563.6364
31.12.2013,0.4756,0.0651,273327.2727
31.03.2014,0.4805,0.0572,273404.5455
30.06.2014,0.488,0.0522,273590.9091
30.09.2014,0.4936,0.0458,273718.1818
31.12.2014,0.4941,0.035,273809.0909
31.03.2015,0.4799,0.0111,274081.8182
30.06.2015,0.4727,-0.0046,274250
30.09.2015,0.4675,-0.0173,274350
31.12.2015,0.4791,-0.0135,274490.9091
31.03.2016,0.4871,-0.0133,274718.1818
30.06.2016,0.494,-0.0141,274890.9091
30.09.2016,0.5003,-0.0154,274968.1818
31.12.2016,0.5183,-0.0056,275218.1818
31.03.2017,0.5241,-0.0079,270050
30.06.2017,0.5371,-0.0033,261618.1818
30.09.2017,0.5519,0.0027,262190.9091
31.12.2017,0.5575,-0.0003,267181.8182
31.03.2018,0.5705,0.0038,277177.2727
30.06.2018,0.5794,0.0039,283827.2727
30.09.2018,0.5859,0.0016,289968.1818
31.12.2018,0.6007,0.0073,295559.0909
31.03.2019,0.607,0.0047,303909.0909
30.06.2019,0.6223,0.0107,311600
30.09.2019,0.6333,0.0123,321381.8182
31.12.2019,0.6573,0.0259,341450
31.03.2020,0.6621,0.0207,349190.9091
30.06.2020,0.7081,0.0546,342109.0909
30.09.2020,0.742,0.075,332027.2727
31.12.2020,0.7523,0.0719,328104.5455
31.03.2021,0.7357,0.0435,325827.2727
30.06.2021,0.6941,-0.0069,334631.8182
30.09.2021,0.697,-0.0124,345845.4545
31.12.2021,0.6887,-0.0281,359986.3636
31.03.2022,0.6798,-0.0435,374086.3636
30.06.2022,0.6799,-0.0495,390213.6364
30.09.2022,0.6431,-0.0899,393509.0909
31.12.2022,0.639,-0.097,400072.7273
31.03.2023,0.6426,-0.0963,408972.7273
30.06.2023,0.6389,-0.1024,420863.6364
30.09.2023,0.6491,-0.0949,434190.9091
31.12.2023,0.653,-0.0936,450082
