country,date,Credit_GDP_gap
AR,31.12.94,4.6
AR,31.03.95,3.7
AR,30.06.95,4.2
AR,30.09.95,3.7
AR,31.12.95,4.8
AR,31.03.96,4.5
AR,30.06.96,4.7
AR,30.09.96,4.6
AR,31.12.96,5
AR,31.03.97,5.2
AR,30.06.97,5.9
AR,30.09.97,6.2
AR,31.12.97,6.8
AR,31.03.98,6.8
AR,30.06.98,6.8
AR,30.09.98,7.2
AR,31.12.98,7.5
AR,31.03.99,7.1
AR,30.06.99,7.1
AR,30.09.99,6.2
AR,31.12.99,5.8
AR,31.03.00,4.4
AR,30.06.00,3.5
AR,30.09.00,3.1
AR,31.12.00,2.2
AR,31.03.01,1
AR,30.06.01,2
AR,30.09.01,0.8
AR,31.12.01,11.2
AR,31.03.02,44.1
AR,30.06.02,49.9
AR,30.09.02,38.9
AR,31.12.02,23.9
AR,31.03.03,12
AR,30.06.03,5.8
AR,30.09.03,3.3
AR,31.12.03,1
AR,31.03.04,-3.2
AR,30.06.04,-4.1
AR,30.09.04,-5.1
AR,31.12.04,-7.1
AR,31.03.05,-9.3
AR,30.06.05,-10.1
AR,30.09.05,-11.4
AR,31.12.05,-11.6
AR,31.03.06,-11.8
AR,30.06.06,-11.9
AR,30.09.06,-12
AR,31.12.06,-12
AR,31.03.07,-12
AR,30.06.07,-12
AR,30.09.07,-11.4
AR,31.12.07,-11.6
AR,31.03.08,-11.7
AR,30.06.08,-12.3
AR,30.09.08,-11.9
AR,31.12.08,-11
AR,31.03.09,-10.1
AR,30.06.09,-9.3
AR,30.09.09,-9.2
AR,31.12.09,-9.2
AR,31.03.10,-9.5
AR,30.06.10,-9.3
AR,30.09.10,-9.1
AR,31.12.10,-8.5
AR,31.03.11,-8.3
AR,30.06.11,-7.7
AR,30.09.11,-6.7
AR,31.12.11,-6.4
AR,31.03.12,-6.2
AR,30.06.12,-5.5
AR,30.09.12,-4.8
AR,31.12.12,-3.6
AR,31.03.13,-3.6
AR,30.06.13,-3.1
AR,30.09.13,-2.5
AR,31.12.13,-1.5
AR,31.03.14,-1.6
AR,30.06.14,-2.8
AR,30.09.14,-3.1
AR,31.12.14,-3.2
AR,31.03.15,-3.1
AR,30.06.15,-2.4
AR,30.09.15,-2.1
AR,31.12.15,-0.1
AR,31.03.16,-0.2
AR,30.06.16,-0.5
AR,30.09.16,-0.2
AR,31.12.16,0.2
AR,31.03.17,0
AR,30.06.17,1.1
AR,30.09.17,2.4
AR,31.12.17,4.7
AR,31.03.18,5.1
AR,30.06.18,8.2
AR,30.09.18,12.2
AR,31.12.18,7.7
AR,31.03.19,7.6
AR,30.06.19,5
AR,30.09.19,8.4
AR,31.12.19,6
AR,31.03.20,4.7
AR,30.06.20,6.1
AR,30.09.20,6
AR,31.12.20,6.6
AR,31.03.21,5
AR,30.06.21,2.3
AR,30.09.21,0.4
AR,31.12.21,-0.6
AR,31.03.22,-2
AR,30.06.22,-0.7
AR,30.09.22,-1
AR,31.12.22,-0.9
AR,31.03.23,-0.8
AR,30.06.23,0.3
AR,30.09.23,1.5
AT,31.12.70,0.6
AT,31.03.71,0
AT,30.06.71,1
AT,30.09.71,0.6
AT,31.12.71,1.9
AT,31.03.72,1.4
AT,30.06.72,1.8
AT,30.09.72,1.7
AT,31.12.72,2.3
AT,31.03.73,0.6
AT,30.06.73,0
AT,30.09.73,-0.9
AT,31.12.73,-0.8
AT,31.03.74,-1.8
AT,30.06.74,-2.3
AT,30.09.74,-2.8
AT,31.12.74,-1.8
AT,31.03.75,-2
AT,30.06.75,-0.8
AT,30.09.75,-0.8
AT,31.12.75,0.1
AT,31.03.76,-0.2
AT,30.06.76,0.6
AT,30.09.76,1.1
AT,31.12.76,3.7
AT,31.03.77,2.1
AT,30.06.77,3.1
AT,30.09.77,2.8
AT,31.12.77,3.4
AT,31.03.78,2.9
AT,30.06.78,3.7
AT,30.09.78,4.5
AT,31.12.78,6.1
AT,31.03.79,5.1
AT,30.06.79,5.9
AT,30.09.79,5.8
AT,31.12.79,7.2
AT,31.03.80,6.2
AT,30.06.80,6.8
AT,30.09.80,7.1
AT,31.12.80,7
AT,31.03.81,6.7
AT,30.06.81,7
AT,30.09.81,6.2
AT,31.12.81,6.5
AT,31.03.82,4.9
AT,30.06.82,4
AT,30.09.82,2.7
AT,31.12.82,2
AT,31.03.83,-0.7
AT,30.06.83,-1.2
AT,30.09.83,-2.2
AT,31.12.83,-2.3
AT,31.03.84,-4.9
AT,30.06.84,-4.3
AT,30.09.84,-3.9
AT,31.12.84,-1.6
AT,31.03.85,-3.2
AT,30.06.85,-2.8
AT,30.09.85,-3.1
AT,31.12.85,-2.3
AT,31.03.86,-4.8
AT,30.06.86,-4.5
AT,30.09.86,-4.5
AT,31.12.86,-2.2
AT,31.03.87,-4.3
AT,30.06.87,-3.7
AT,30.09.87,-3.3
AT,31.12.87,-1.4
AT,31.03.88,-2.7
AT,30.06.88,-1
AT,30.09.88,-1.1
AT,31.12.88,0.6
AT,31.03.89,-2.3
AT,30.06.89,-1.1
AT,30.09.89,0.3
AT,31.12.89,1.5
AT,31.03.90,0.2
AT,30.06.90,1.6
AT,30.09.90,1.4
AT,31.12.90,2.4
AT,31.03.91,0.8
AT,30.06.91,1.9
AT,30.09.91,0.7
AT,31.12.91,1.5
AT,31.03.92,-0.6
AT,30.06.92,0.1
AT,30.09.92,0.3
AT,31.12.92,1
AT,31.03.93,-0.3
AT,30.06.93,-0.2
AT,30.09.93,-1.1
AT,31.12.93,-0.9
AT,31.03.94,-3.1
AT,30.06.94,-2.6
AT,30.09.94,-3.4
AT,31.12.94,-3
AT,31.03.95,-5.5
AT,30.06.95,-5
AT,30.09.95,-5
AT,31.12.95,-2.7
AT,31.03.96,-6
AT,30.06.96,-3.5
AT,30.09.96,-2
AT,31.12.96,-1.9
AT,31.03.97,-3.1
AT,30.06.97,0
AT,30.09.97,1.2
AT,31.12.97,1
AT,31.03.98,-2.3
AT,30.06.98,-1.3
AT,30.09.98,-1.2
AT,31.12.98,-0.3
AT,31.03.99,-1.5
AT,30.06.99,-0.8
AT,30.09.99,2.1
AT,31.12.99,4.1
AT,31.03.00,2.9
AT,30.06.00,5
AT,30.09.00,9.6
AT,31.12.00,7.3
AT,31.03.01,5.5
AT,30.06.01,4.5
AT,30.09.01,4.6
AT,31.12.01,5.5
AT,31.03.02,3.8
AT,30.06.02,3.3
AT,30.09.02,2.6
AT,31.12.02,2
AT,31.03.03,0.4
AT,30.06.03,-0.2
AT,30.09.03,-0.6
AT,31.12.03,1.2
AT,31.03.04,0.5
AT,30.06.04,0.8
AT,30.09.04,-0.3
AT,31.12.04,-1.9
AT,31.03.05,-2.5
AT,30.06.05,-0.1
AT,30.09.05,0.4
AT,31.12.05,-0.6
AT,31.03.06,-0.3
AT,30.06.06,1
AT,30.09.06,1.2
AT,31.12.06,-0.9
AT,31.03.07,-2.8
AT,30.06.07,-0.9
AT,30.09.07,-0.4
AT,31.12.07,1
AT,31.03.08,0.7
AT,30.06.08,-0.3
AT,30.09.08,-0.9
AT,31.12.08,0.7
AT,31.03.09,0.1
AT,30.06.09,0.2
AT,30.09.09,1.2
AT,31.12.09,0.7
AT,31.03.10,0.9
AT,30.06.10,1.7
AT,30.09.10,0.9
AT,31.12.10,0.5
AT,31.03.11,-2.3
AT,30.06.11,-2.7
AT,30.09.11,-3.7
AT,31.12.11,-3.7
AT,31.03.12,-4.9
AT,30.06.12,-4.3
AT,30.09.12,-4.8
AT,31.12.12,-6.6
AT,31.03.13,-7.1
AT,30.06.13,-7.7
AT,30.09.13,-8.1
AT,31.12.13,-4.2
AT,31.03.14,-5.8
AT,30.06.14,-5.6
AT,30.09.14,-5.9
AT,31.12.14,-9.4
AT,31.03.15,-7.5
AT,30.06.15,-9.1
AT,30.09.15,-9.2
AT,31.12.15,-9.4
AT,31.03.16,-9.6
AT,30.06.16,-9.8
AT,30.09.16,-8.6
AT,31.12.16,-8.6
AT,31.03.17,-7.6
AT,30.06.17,-8.5
AT,30.09.17,-8.6
AT,31.12.17,-8.6
AT,31.03.18,-7.7
AT,30.06.18,-8.1
AT,30.09.18,-7.9
AT,31.12.18,-7.6
AT,31.03.19,-6.8
AT,30.06.19,-5.8
AT,30.09.19,-7.7
AT,31.12.19,-7.4
AT,31.03.20,-5.3
AT,30.06.20,-0.1
AT,30.09.20,1.5
AT,31.12.20,2.5
AT,31.03.21,6.3
AT,30.06.21,2.2
AT,30.09.21,1.8
AT,31.12.21,1.5
AT,31.03.22,-2.2
AT,30.06.22,-4.4
AT,30.09.22,-6.4
AT,31.12.22,-9.9
AT,31.03.23,-10.4
AT,30.06.23,-12
AT,30.09.23,-12.6
AU,30.06.70,-2.4
AU,30.09.70,-2.5
AU,31.12.70,-2.6
AU,31.03.71,-2.7
AU,30.06.71,-2.6
AU,30.09.71,-3.1
AU,31.12.71,-3.2
AU,31.03.72,-2.8
AU,30.06.72,-2.7
AU,30.09.72,-2.3
AU,31.12.72,-2.4
AU,31.03.73,-0.6
AU,30.06.73,0.8
AU,30.09.73,1.2
AU,31.12.73,1
AU,31.03.74,1.9
AU,30.06.74,3
AU,30.09.74,3.6
AU,31.12.74,4.2
AU,31.03.75,3.7
AU,30.06.75,2.7
AU,30.09.75,2.2
AU,31.12.75,1.7
AU,31.03.76,1.2
AU,30.06.76,0.7
AU,30.09.76,0.1
AU,31.12.76,-0.3
AU,31.03.77,-1.2
AU,30.06.77,-1.9
AU,30.09.77,-2.2
AU,31.12.77,-2.2
AU,31.03.78,-1.7
AU,30.06.78,-0.1
AU,30.09.78,-0.4
AU,31.12.78,0
AU,31.03.79,-0.9
AU,30.06.79,0.7
AU,30.09.79,0.7
AU,31.12.79,0.4
AU,31.03.80,0.8
AU,30.06.80,2.3
AU,30.09.80,1.7
AU,31.12.80,1.7
AU,31.03.81,1.7
AU,30.06.81,3.1
AU,30.09.81,2.8
AU,31.12.81,2.6
AU,31.03.82,3.3
AU,30.06.82,3.9
AU,30.09.82,4.3
AU,31.12.82,4.3
AU,31.03.83,5.7
AU,30.06.83,6.8
AU,30.09.83,5.3
AU,31.12.83,5.1
AU,31.03.84,3.8
AU,30.06.84,3
AU,30.09.84,2.9
AU,31.12.84,3.7
AU,31.03.85,4.2
AU,30.06.85,6
AU,30.09.85,6.3
AU,31.12.85,7.3
AU,31.03.86,7.2
AU,30.06.86,10.8
AU,30.09.86,13.8
AU,31.12.86,14.2
AU,31.03.87,13.2
AU,30.06.87,14.5
AU,30.09.87,14
AU,31.12.87,14.8
AU,31.03.88,15.8
AU,30.06.88,17.5
AU,30.09.88,16.5
AU,31.12.88,14.2
AU,31.03.89,14.2
AU,30.06.89,15.6
AU,30.09.89,12.2
AU,31.12.89,9.8
AU,31.03.90,10.3
AU,30.06.90,8.9
AU,30.09.90,7.1
AU,31.12.90,6.3
AU,31.03.91,6.6
AU,30.06.91,4.6
AU,30.09.91,1.5
AU,31.12.91,1.3
AU,31.03.92,-0.2
AU,30.06.92,-1.2
AU,30.09.92,-1
AU,31.12.92,-4.3
AU,31.03.93,-6.6
AU,30.06.93,-9.4
AU,30.09.93,-9.5
AU,31.12.93,-11
AU,31.03.94,-11.5
AU,30.06.94,-11
AU,30.09.94,-10.7
AU,31.12.94,-10.8
AU,31.03.95,-10.6
AU,30.06.95,-10.3
AU,30.09.95,-10.5
AU,31.12.95,-9.9
AU,31.03.96,-9.5
AU,30.06.96,-8.7
AU,30.09.96,-10
AU,31.12.96,-8.6
AU,31.03.97,-8.7
AU,30.06.97,-7.4
AU,30.09.97,-6.7
