country,date,Credit_GDP_ratio
AR,31.12.84,31.3
AR,31.03.85,27.2
AR,30.06.85,42.7
AR,30.09.85,37.2
AR,31.12.85,33.9
AR,31.03.86,28.2
AR,30.06.86,28
AR,30.09.86,28.7
AR,31.12.86,31.8
AR,31.03.87,28.5
AR,30.06.87,27.8
AR,30.09.87,31.1
AR,31.12.87,39.1
AR,31.03.88,26.4
AR,30.06.88,26.9
AR,30.09.88,30.5
AR,31.12.88,33.3
AR,31.03.89,7.5
AR,30.06.89,19.7
AR,30.09.89,36
AR,31.12.89,73.3
AR,31.03.90,35
AR,30.06.90,26.4
AR,30.09.90,22.7
AR,31.12.90,18.8
AR,31.03.91,23
AR,30.06.91,21.3
AR,30.09.91,18.3
AR,31.12.91,17.7
AR,31.03.92,17.7
AR,30.06.92,18.9
AR,30.09.92,19.2
AR,31.12.92,19.8
AR,31.03.93,22
AR,30.06.93,21.7
AR,30.09.93,21.7
AR,31.12.93,23.2
AR,31.03.94,23.1
AR,30.06.94,24.3
AR,30.09.94,24.7
AR,31.12.94,25
AR,31.03.95,24.1
AR,30.06.95,24.8
AR,30.09.95,24.3
AR,31.12.95,25.5
AR,31.03.96,25.4
AR,30.06.96,25.8
AR,30.09.96,25.9
AR,31.12.96,26.5
AR,31.03.97,26.9
AR,30.06.97,27.9
AR,30.09.97,28.5
AR,31.12.97,29.6
AR,31.03.98,29.9
AR,30.06.98,30.4
AR,30.09.98,31.2
AR,31.12.98,32
AR,31.03.99,32.1
AR,30.06.99,32.5
AR,30.09.99,32.1
AR,31.12.99,32.1
AR,31.03.00,30.9
AR,30.06.00,30.3
AR,30.09.00,30.1
AR,31.12.00,29.4
AR,31.03.01,28.3
AR,30.06.01,29.3
AR,30.09.01,28.2
AR,31.12.01,39.4
AR,31.03.02,75.2
AR,30.06.02,84.5
AR,30.09.02,76.3
AR,31.12.02,63.2
AR,31.03.03,52.3
AR,30.06.03,46.9
AR,30.09.03,44.9
AR,31.12.03,43
AR,31.03.04,39
AR,30.06.04,38.2
AR,30.09.04,37.3
AR,31.12.04,35.1
AR,31.03.05,32.7
AR,30.06.05,31.6
AR,30.09.05,29.9
AR,31.12.05,29.3
AR,31.03.06,28.6
AR,30.06.06,28
AR,30.09.06,27.4
AR,31.12.06,26.9
AR,31.03.07,26.3
AR,30.06.07,25.8
AR,30.09.07,25.9
AR,31.12.07,25.1
AR,31.03.08,24.3
AR,30.06.08,23.2
AR,30.09.08,22.9
AR,31.12.08,23.2
AR,31.03.09,23.5
AR,30.06.09,23.7
AR,30.09.09,23.3
AR,31.12.09,22.7
AR,31.03.10,21.9
AR,30.06.10,21.4
AR,30.09.10,21
AR,31.12.10,21.1
AR,31.03.11,20.7
AR,30.06.11,20.8
AR,30.09.11,21.2
AR,31.12.11,21.1
AR,31.03.12,20.7
AR,30.06.12,20.9
AR,30.09.12,21.2
AR,31.12.12,22
AR,31.03.13,21.7
AR,30.06.13,21.8
AR,30.09.13,22
AR,31.12.13,22.8
AR,31.03.14,22.4
AR,30.06.14,20.8
AR,30.09.14,20.2
AR,31.12.14,19.7
AR,31.03.15,19.4
AR,30.06.15,19.7
AR,30.09.15,19.7
AR,31.12.15,21.5
AR,31.03.16,21.1
AR,30.06.16,20.6
AR,30.09.16,20.6
AR,31.12.16,20.8
AR,31.03.17,20.4
AR,30.06.17,21.3
AR,30.09.17,22.5
AR,31.12.17,24.9
AR,31.03.18,25.4
AR,30.06.18,28.8
AR,30.09.18,33.2
AR,31.12.18,29
AR,31.03.19,29.2
AR,30.06.19,26.8
AR,30.09.19,30.5
AR,31.12.19,28.3
AR,31.03.20,27.2
AR,30.06.20,28.9
AR,30.09.20,29
AR,31.12.20,29.9
AR,31.03.21,28.5
AR,30.06.21,25.8
AR,30.09.21,23.9
AR,31.12.21,22.8
AR,31.03.22,21.2
AR,30.06.22,22.5
AR,30.09.22,22
AR,31.12.22,22
AR,31.03.23,21.9
AR,30.06.23,23
AR,30.09.23,24.2
AT,31.12.60,30
AT,31.03.61,30.3
AT,30.06.61,31.1
AT,30.09.61,31.3
AT,31.12.61,31.5
AT,31.03.62,32
AT,30.06.62,32.3
AT,30.09.62,32.3
AT,31.12.62,32.5
AT,31.03.63,33.1
AT,30.06.63,33.6
AT,30.09.63,33.4
AT,31.12.63,33.6
AT,31.03.64,33.6
AT,30.06.64,34.3
AT,30.09.64,34.8
AT,31.12.64,35.7
AT,31.03.65,36.6
AT,30.06.65,37.5
AT,30.09.65,37.6
AT,31.12.65,38.9
AT,31.03.66,39.4
AT,30.06.66,40.2
AT,30.09.66,40.7
AT,31.12.66,41.4
AT,31.03.67,42
AT,30.06.67,42.4
AT,30.09.67,42.4
AT,31.12.67,42.4
AT,31.03.68,42.2
AT,30.06.68,42.8
AT,30.09.68,42.8
AT,31.12.68,43.8
AT,31.03.69,44.2
AT,30.06.69,45.6
AT,30.09.69,46
AT,31.12.69,46.8
AT,31.03.70,47
AT,30.06.70,47.7
AT,30.09.70,47.6
AT,31.12.70,48.7
AT,31.03.71,48.6
AT,30.06.71,50.2
AT,30.09.71,50.3
AT,31.12.71,52.3
AT,31.03.72,52.4
AT,30.06.72,53.5
AT,30.09.72,54
AT,31.12.72,55.4
AT,31.03.73,54.2
AT,30.06.73,54.2
AT,30.09.73,53.7
AT,31.12.73,54.2
AT,31.03.74,53.5
AT,30.06.74,53.4
AT,30.09.74,53.2
AT,31.12.74,54.5
AT,31.03.75,54.7
AT,30.06.75,56.3
AT,30.09.75,56.7
AT,31.12.75,58.1
AT,31.03.76,58.2
AT,30.06.76,59.5
AT,30.09.76,60.6
AT,31.12.76,64
AT,31.03.77,63.1
AT,30.06.77,64.7
AT,30.09.77,65.2
AT,31.12.77,66.5
AT,31.03.78,66.7
AT,30.06.78,68.3
AT,30.09.78,69.9
AT,31.12.78,72.4
AT,31.03.79,72.3
AT,30.06.79,74
AT,30.09.79,74.8
AT,31.12.79,77.3
AT,31.03.80,77.3
AT,30.06.80,78.9
AT,30.09.80,80.2
AT,31.12.80,81.2
AT,31.03.81,81.9
AT,30.06.81,83.3
AT,30.09.81,83.6
AT,31.12.81,84.9
AT,31.03.82,84.3
AT,30.06.82,84.4
AT,30.09.82,83.9
AT,31.12.82,84
AT,31.03.83,82
AT,30.06.83,82.1
AT,30.09.83,81.7
AT,31.12.83,82.2
AT,31.03.84,79.9
AT,30.06.84,81
AT,30.09.84,81.8
AT,31.12.84,84.7
AT,31.03.85,83.6
AT,30.06.85,84.4
AT,30.09.85,84.7
AT,31.12.85,86
AT,31.03.86,83.9
AT,30.06.86,84.5
AT,30.09.86,84.9
AT,31.12.86,87.6
AT,31.03.87,86
AT,30.06.87,87
AT,30.09.87,87.8
AT,31.12.87,90.2
AT,31.03.88,89.4
AT,30.06.88,91.6
AT,30.09.88,92.1
AT,31.12.88,94.4
AT,31.03.89,91.9
AT,30.06.89,93.6
AT,30.09.89,95.6
AT,31.12.89,97.5
AT,31.03.90,96.9
AT,30.06.90,98.9
AT,30.09.90,99.4
AT,31.12.90,101.2
AT,31.03.91,100.2
AT,30.06.91,102
AT,30.09.91,101.5
AT,31.12.91,103
AT,31.03.92,101.4
AT,30.06.92,102.8
AT,30.09.92,103.6
AT,31.12.92,104.9
AT,31.03.93,104.2
AT,30.06.93,105
AT,30.09.93,104.6
AT,31.12.93,105.4
AT,31.03.94,103.6
AT,30.06.94,104.6
AT,30.09.94,104.1
AT,31.12.94,105
AT,31.03.95,102.7
AT,30.06.95,103.5
AT,30.09.95,103.8
AT,31.12.95,106.5
AT,31.03.96,103.4
AT,30.06.96,106.3
AT,30.09.96,108.2
AT,31.12.96,108.7
AT,31.03.97,107.8
AT,30.06.97,111.5
AT,30.09.97,113.3
AT,31.12.97,113.6
AT,31.03.98,110.8
AT,30.06.98,112.3
AT,30.09.98,112.8
AT,31.12.98,114.3
AT,31.03.99,113.5
AT,30.06.99,114.6
AT,30.09.99,118.2
AT,31.12.99,121
AT,31.03.00,120.5
AT,30.06.00,123.4
AT,30.09.00,129.1
AT,31.12.00,127.8
AT,31.03.01,126.9
AT,30.06.01,126.7
AT,30.09.01,127.7
AT,31.12.01,129.4
AT,31.03.02,128.6
AT,30.06.02,128.9
AT,30.09.02,129
AT,31.12.02,129.1
AT,31.03.03,128.1
AT,30.06.03,128.2
AT,30.09.03,128.4
AT,31.12.03,130.9
AT,31.03.04,130.8
AT,30.06.04,131.8
AT,30.09.04,131.4
AT,31.12.04,130.2
AT,31.03.05,130.1
AT,30.06.05,133.1
AT,30.09.05,134.3
AT,31.12.05,133.8
AT,31.03.06,134.8
AT,30.06.06,136.8
AT,30.09.06,137.7
AT,31.12.06,136.1
AT,31.03.07,134.7
AT,30.06.07,137.1
AT,30.09.07,138.2
AT,31.12.07,140.3
AT,31.03.08,140.7
AT,30.06.08,140.3
AT,30.09.08,140.3
AT,31.12.08,142.5
AT,31.03.09,142.5
AT,30.06.09,143.3
AT,30.09.09,145
AT,31.12.09,145.1
AT,31.03.10,146
AT,30.06.10,147.5
AT,30.09.10,147.3
AT,31.12.10,147.6
AT,31.03.11,145.3
AT,30.06.11,145.4
AT,30.09.11,144.8
AT,31.12.11,145.2
AT,31.03.12,144.4
AT,30.06.12,145.3
AT,30.09.12,145.1
AT,31.12.12,143.5
AT,31.03.13,143.1
AT,30.06.13,142.7
AT,30.09.13,142.4
AT,31.12.13,146.6
AT,31.03.14,145.1
AT,30.06.14,145.5
AT,30.09.14,145.4
AT,31.12.14,141.9
AT,31.03.15,143.9
AT,30.06.15,142.1
AT,30.09.15,142
AT,31.12.15,141.7
AT,31.03.16,141.4
AT,30.06.16,141
AT,30.09.16,142.2
AT,31.12.16,142
AT,31.03.17,142.9
AT,30.06.17,141.9
AT,30.09.17,141.7
AT,31.12.17,141.5
AT,31.03.18,142.3
AT,30.06.18,141.7
AT,30.09.18,141.7
AT,31.12.18,141.9
AT,31.03.19,142.5
AT,30.06.19,143.5
AT,30.09.19,141.4
AT,31.12.19,141.5
AT,31.03.20,143.4
AT,30.06.20,148.9
AT,30.09.20,150.8
AT,31.12.20,152.2
AT,31.03.21,156.5
AT,30.06.21,152.8
AT,30.09.21,152.7
AT,31.12.21,152.8
AT,31.03.22,149.1
AT,30.06.22,146.9
AT,30.09.22,144.8
AT,31.12.22,141
AT,31.03.23,140.1
AT,30.06.23,137.9
AT,30.09.23,136.7
AU,30.06.60,53.4
AU,30.09.60,53.5
AU,31.12.60,53.8
AU,31.03.61,53.5
AU,30.06.61,54.2
AU,30.09.61,54.9
AU,31.12.61,55.5
AU,31.03.62,55.9
AU,30.06.62,55.6
AU,30.09.62,55.1
