date,country,Nominal_house_price,Price_to_income_ratio,Price_to_rent_ratio,Real_house_price,Rent_price
2000-01-01,Australia,32.90620138,67.63535963,57.53463592,47.9621866,57.197302
2000-01-01,Austria,59.00655358,83.55307026,96.18696936,79.14931095,61.35934714
2000-01-01,Belgium,49.50020882,68.36392414,65.95171608,65.83320767,75.05685585
2000-01-01,Bulgaria,,,,,50.82182854
2000-01-01,Canada,39.08182504,65.3042305,48.22607094,49.25976477,81.0417976
2000-01-01,Chile,,,,,60.91160135
2000-01-01,Colombia,28.75804257,91.85905888,49.86654575,60.79768078,57.67685431
2000-01-01,Costa Rica,,,,,42.78467238
2000-01-01,Croatia,,,,,48.0963857
2000-01-01,Czech Republic,,,,,46.66614834
2000-01-01,Denmark,52.44827373,85.03260152,76.48255763,67.95214914,68.57837008
2000-01-01,Estonia,,,,,43.39248792
2000-01-01,Finland,59.11377572,93.28170779,84.39915805,78.12984482,70.03815264
2000-01-01,France,47.8,66.63921657,64.8456444,58.54166029,73.71329175
2000-01-01,Germany,84.34587631,113.6862681,100.7893164,103.2083023,83.68777696
2000-01-01,Greece,83.81876468,98.40371896,104.8509746,104.8325203,79.94525596
2000-01-01,Hungary,,,,,39.0024167
2000-01-01,Iceland,,,,,29.96256788
2000-01-01,Ireland,73.97428569,118.8180611,140.6219799,89.55388404,52.60665376
2000-01-01,Israel,52.86888662,97.25744074,71.26366219,68.87242347,74.1924831
2000-01-01,Italy,67.74636054,83.77509735,91.68865213,91.4886957,73.88736584
2000-01-01,Japan,138.5378844,132.1191674,132.5122309,128.1855504,104.5470204
2000-01-01,"Korea, Republic of",52.21880523,112.1768193,76.70343477,75.78619883,68.08047257
2000-01-01,Latvia,,,,,49.73557871
2000-01-01,Lithuania,,,,,36.16786899
2000-01-01,Luxembourg,,,,,72.8864158
2000-01-01,Mexico,,,,,59.57848513
2000-01-01,Netherlands,75.82076704,107.7320053,113.8984774,98.31598569,66.5712539
2000-01-01,New Zealand,34.42597333,61.92125859,42.80951674,45.18398821,80.43153704
2000-01-01,Norway,39.08570576,75.5649287,60.24812962,51.98844076,64.87651272
2000-01-01,Poland,,,,,50.07384414
2000-01-01,Portugal,97.17047891,132.8272958,140.1659832,135.7887842,69.32802226
2000-01-01,Slovakia,,,,,35.35724941
2000-01-01,Slovenia,,,,,54.08674327
2000-01-01,South Africa,22.38245183,77.93695007,,55.75603569,
2000-01-01,Spain,56.20351097,80.50518278,83.2697312,79.4252529,67.49441833
2000-01-01,Sweden,34.08582646,62.41626513,47.08630549,41.7039121,72.39843608
2000-01-01,Switzerland,62.05088041,75.05689732,77.17562617,64.61244395,80.40201261
2000-01-01,Türkiye,,,,,10.39276111
2000-01-01,United Kingdom,43.58779698,69.64912442,65.17874628,56.47812438,66.88111463
2000-01-01,United States,63.841973,105.5248013,95.55494626,84.84663619,66.81467823
2000-04-01,Australia,33.54548741,70.23019393,58.18419723,48.51067614,57.65755492
2000-04-01,Austria,59.38831752,83.4613139,96.22205443,79.14673993,61.73381534
2000-04-01,Belgium,49.85464291,67.90150109,66.15090662,65.56661432,75.36665604
2000-04-01,Bulgaria,,,,,52.48555202
2000-04-01,Canada,39.48152338,65.16974551,48.55538447,49.50336275,81.31536471
2000-04-01,Chile,,,,,61.41439959
2000-04-01,Colombia,28.8328544,91.8949969,49.55417504,59.03166294,58.19141499
2000-04-01,Costa Rica,,,,,43.59905615
2000-04-01,Croatia,,,,,48.56861494
2000-04-01,Czech Republic,,,,,47.48567926
2000-04-01,Denmark,53.58543789,85.6866651,77.73241535,69.18546438,68.93868332
2000-04-01,Estonia,,,,,44.07524655
2000-04-01,Finland,59.58145954,98.30558604,83.36167378,78.23558023,71.47082722
2000-04-01,France,48.6,66.74920438,65.80271059,59.21154632,73.85692207
2000-04-01,Germany,83.58587469,112.3841824,99.56137943,102.2690592,83.95656528
2000-04-01,Greece,85.97416595,100.1416894,106.4961099,108.0844055,80.73431047
2000-04-01,Hungary,,,,,40.61382864
2000-04-01,Iceland,34.09846832,,110.0909743,75.151266,30.97595896
2000-04-01,Ireland,77.7893196,118.5838127,138.5215009,92.70324551,56.15855056
2000-04-01,Israel,53.52795534,97.42620956,72.1779989,69.45662243,74.16580171
2000-04-01,Italy,69.27994202,84.63876386,93.37553233,92.75466361,74.19492976
2000-04-01,Japan,137.1561736,131.9625669,131.2303094,127.3791364,104.5153989
2000-04-01,"Korea, Republic of",52.47347932,111.5964401,76.83039607,76.88764919,68.29945408
2000-04-01,Latvia,,,,,50.12028801
2000-04-01,Lithuania,,,,,35.23965776
