country,date,Stocks_cap_to_GDP,Stocks_trade_to_GDP,Syndicated_loan_maturity,Corporate_bond_maturity,Stocks_turnover,Stocks_return,Stocks_volatility
Argentina,2005,23.9464,2.64559,4.377832,5.692397,11.04799,34.85443,29.64523
Argentina,2006,22.0333,1.45684,5.42639,4.460618,6.611986,17.106,24.63627
Argentina,2007,19.8484,1.68504,5.947299,5.292371,8.48955,23.34016,23.1867
Argentina,2008,11.0218,0.923116,4.647423,2.933196,8.375332,-18.05187,26.84668
Argentina,2009,13.7382,0.45366,5.477534,6.027256,3.30218,-7.812902,44.79667
Argentina,2010,15.0863,0.600714,3.587943,9.199679,3.981847,56.63403,34.70379
Argentina,2011,8.22007,0.462935,3.711437,6.75845,5.631762,21.51364,25.78323
Argentina,2012,6.27397,0.2678,3.913609,3.689128,4.26843,-19.509,30.11375
Argentina,2013,9.62,0.405291,4.387119,4.620249,4.21301,59.63185,27.85303
Argentina,2014,11.4269,0.669274,4.00274,6.972773,5.857001,102.5771,32.97448
Argentina,2015,9.43837,0.453943,4.903169,8.22366,4.809545,37.50489,41.25276
Argentina,2016,11.4076,0.782152,4.720626,5.218631,6.856398,30.31837,38.03168
Argentina,2017,16.8948,1.02431,3.085712,8.404416,6.06288,57.0715,27.06185
Argentina,2018,8.76226,0.870999,7.074766,5.351748,9.940349,33.51541,27.72065
Argentina,2019,8.69963,0.658836,8.516843,8.593005,7.573145,13.5041,45.68394
Armenia,2005,,,,,,,
Armenia,2006,,,,,,,
Armenia,2007,,,,,,,
Armenia,2008,,,,,,,
Armenia,2009,,,,,,,
Armenia,2010,,,,,,,
Armenia,2011,,,,,,,
Armenia,2012,,,,,,,
Armenia,2013,,,,,,,
Armenia,2014,,,,,,,
Armenia,2015,,,,,,,
Armenia,2016,,,,,,,
Armenia,2017,,,,,,,
Armenia,2018,,,,,,,
Armenia,2019,,,,,,,
Australia,2005,115.673,88.1444,3.437681,9.175912,76.20128,20.32981,7.558538
Australia,2006,146.592,114.9,3.928466,9.391994,78.38094,18.71448,10.80258
Australia,2007,152.035,160.812,3.428282,8.356266,105.7724,22.44602,13.70636
Australia,2008,64.8141,79.586,4.194276,7.942716,122.7912,-19.04465,22.23393
Australia,2009,135.975,90.6726,3.362762,6.776009,66.68316,-19.19205,29.74648
Australia,2010,126.743,98.5838,3.548779,11.98079,77.78238,14.92533,20.57835
Australia,2011,85.7129,80.7266,3.960972,11.31956,94.1825,-2.493348,15.83192
Australia,2012,89.6777,58.562,4.652957,10.64673,65.30267,-4.606897,17.58575
Australia,2013,86.654,49.9818,4.105418,8.618248,57.67975,16.49662,12.7708
Australia,2014,87.8163,47.9375,4.146251,10.27666,54.58844,6.723285,11.29567
Australia,2015,87.8973,55.5807,4.400231,21.04216,63.23366,1.539374,12.5513
Australia,2016,105.122,65.8811,4.207602,11.41098,62.67097,-2.574723,16.33402
Australia,2017,113.685,63.5152,4.370483,10.09313,55.86957,9.436575,12.41792
Australia,2018,88.3986,54.1835,4.697752,10.277,61.29449,4.142107,9.537318
Australia,2019,106.871,59.9321,5.544773,10.61034,56.07871,7.163341,10.72096
Austria,2005,39.9413,13.7074,4.945317,9.763988,34.31892,51.36089,14.06215
Austria,2006,57.3243,24.6729,5.876719,7.507316,43.04097,31.41422,16.74465
Austria,2007,60.7547,33.1809,7.338049,5.969607,54.61455,17.29832,20.15356
Austria,2008,17.6573,22.7142,3.261539,5.264547,128.6393,-27.28248,26.92637
Austria,2009,28.3942,12.8211,4.434629,6.810319,45.15387,-36.45,46.79188
Austria,2010,32.1285,12.4501,5.032352,8.668057,38.75097,19.85159,35.27425
Austria,2011,19.7527,8.98522,4.087171,7.859088,45.48855,-3.693253,24.42377
Austria,2012,25.9004,5.77417,4.939671,9.823038,22.29373,-14.79345,28.52169
Austria,2013,27.3533,6.16657,5.767782,9.402486,22.54417,16.94418,21.59969
Austria,2014,21.8693,6.48898,6.283523,6.723308,29.67162,-2.364093,16.81314
Austria,2015,25.1536,8.30768,6.310734,17.26269,33.02784,1.291351,17.73012
Austria,2016,30.5622,6.70793,4.705109,6.959225,21.94843,-5.315959,22.35299
Austria,2017,36.1035,9.58318,6.134738,,26.54362,34.82397,18.48527
Austria,2018,25.6613,8.66314,5.981722,,33.75956,7.183068,13.8469
Austria,2019,29.9089,7.52338,4.975596,6.154367,25.1543,-8.603352,15.8682
