country,date,Total gross loans,Interest margin to gross income,Total debt,Gross domestic product,50. Residential real estate loans,51. Commercial real estate loans,57. Credit to the private sector,59. Reference lending rates,60. Reference deposit rates,61. Highest interbank rate,62. Lowest interbank rate,1. Residential real estate prices,2. Commercial real estate prices
Albania,Q4 2010,"507,395.12",74.67,,"1,239,644.58","122,902.50","67,811.54",,,,,,,
Albania,Q1 2011,"524,242.98",78.44,,"1,300,624.08","123,571.01","69,702.51",,,,,,,
Albania,Q2 2011,"543,708.25",77.21,,"1,300,624.08","124,814.90","72,732.72",,,,,,,
Albania,Q3 2011,"567,328.09",84.64,,"1,300,624.08","131,056.49","74,548.41",,,,,,,
Albania,Q4 2011,"588,852.39",90.17,,"1,300,624.08","132,575.76","80,995.49",,,,,,,
Albania,Q1 2012,"598,553.92",109.03,,"1,332,810.99","133,206.04","84,098.38",,,,,,,
Albania,Q2 2012,"602,567.74",102.69,,"1,332,810.99","132,409.53","83,705.66",,,,,,,
Albania,Q3 2012,"607,176.67",96.59,,"1,332,810.99","134,848.51","84,097.24",,,,,,,
Albania,Q4 2012,"613,226.71",89.98,,"1,332,810.99","134,710.81","103,111.45",,,,,,,
Albania,Q1 2013,"614,706.76",71.06,,"1,350,052.64","134,250.77","104,167.69",,,,,,,
Albania,Q2 2013,"610,219.65",74.65,,"1,350,052.64","133,682.03","100,078.03",,,,,,,
Albania,Q3 2013,"599,182.49",76.21,,"1,350,052.64","133,067.29","96,260.62",,,,,,,
Albania,Q4 2013,"599,003.71",78.00,"1,622,881.19","1,350,052.64","129,818.94","97,229.57",,,,,,,
Albania,Q1 2014,"597,409.77",87.83,,"1,395,304.63","129,540.44","96,679.83",,,,,,,
Albania,Q2 2014,"599,980.23",91.84,,"1,395,304.63","129,351.75","96,968.46",,,,,,,
Albania,Q3 2014,"607,655.48",88.49,,"1,395,304.63","129,309.60","98,490.52",,,,,,,
Albania,Q4 2014,"632,365.79",87.25,"1,731,099.73","1,395,304.63","128,819.52","105,247.75",,,,,,,
Albania,Q1 2015,"642,240.96",82.53,,"1,434,306.51","129,677.79","103,804.94",,,,,,,
Albania,Q2 2015,"635,862.72",82.45,,"1,434,306.51","128,914.56","102,553.97",,,,,,,
Albania,Q3 2015,"629,839.01",84.42,,"1,434,306.51","127,772.59","102,527.64",,,,,,,
Albania,Q4 2015,"631,932.90",84.94,"1,556,057.34","1,434,306.51","128,187.92","90,103.50",,,,,,,
Albania,Q1 2016,"641,571.66",89.22,,"1,472,479.13","130,441.78","89,214.89",,,,,,,
